"","keylist_data","Freq"
"532","2,940",1
"533","2,951",3
"534","2,975",1
"535","2.",4
"536","2.00",1
"537","2.32",2
"538","2.35",1
"539","2.40",1
"540","2.5",3
"541","2.50",5
"542","2.53",5
"543","2.58",2
"544","2.60",2
"545","2.73",2
"546","2.91",4
"547","20",52
"548","20,000",3
"549","20,146",1
"550","20,151",2
"551","20,254",1
"552","20,439",2
"553","20,500",1
"554","20,711",1
"555","20,769",1
"556","20,812",1
"557","20,822",4
"558","20,885",1
"559","20,886",1
"560","200",6
"561","2000",1
"562","2002년",2
"563","2007",2
"564","2007.",2
"565","201",1
"566","2010",2
"567","2010.",1
"568","2012",11
"569","2013",7
"570","2013.",2
"571","2014",5
"572","2014.",2
"573","2015",10
"574","2015.",3
"575","2016",29
"576","2016.",41
"577","2017",45
"578","2017.",46
"579","2018",150
"580","2018.",110
"581","2019",55
"582","2019.",6
"583","2020",9
"584","2020.",6
"585","2021",2
"586","2021.",7
"587","2022",2
"588","2023",3
"589","2025.",1
"590","2027.",3
"591","2028.",1
"592","205",1
"593","20일기준",1
"594","21",25
"595","21,026",1
"596","21,047",1
"597","21,101",6
"598","21,104",2
"599","21,147",1
"600","21,171",2
"601","21,181",1
"602","21,237",1
"603","21,259",4
"604","21,332",1
"605","21,470",4
"606","21,529",1
"607","21,652",2
"608","21,823",1
"609","21.27",1
"610","21.62",1
"611","21.8",1
"612","216.5",1
"613","22",33
"614","22,198",1
"615","22,247",2
"616","22,278",1
"617","22,316",1
"618","22,346",1
"619","22,687",1
"620","22,713",2
"621","22,872",1
"622","22,924",1
"623","22,984",2
"624","22.",1
"625","22.07",1
"626","22.3",2
"627","22.38",1
"628","221",1
"629","223",2
"630","226",1
"631","227.0",1
"632","22일기준",1
"633","23",47
"634","23,000",1
"635","23,010",1
"636","23,079",2
"637","23,186",1
"638","23,200",7
"639","23,483",2
"640","23,484",1
"641","23,585",1
"642","23,608",1
"643","23,945",2
"644","23.28",1
"645","232",8
"646","235",2
"647","24",35
"648","24,002",2
"649","24,314",1
"650","24,559",2
"651","24,568",4
"652","24,646",1
"653","24.3",1
"654","240",9
"655","244",1
"656","245",1
"657","246",1
"658","25",37
"659","25,200",1
"660","25,525",4
"661","25,680",1
"662","25,713",2
"663","25.8",1
"664","250",3
"665","257",1
"666","258",1
"667","259",2
"668","25일기준",1
"669","26",31
"670","26,085",2
"671","26,171",1
"672","26,376",1
"673","26,446",2
"674","26,580",1
"675","26,605",1
"676","26,740",1
"677","26,774",1
"678","261",1
"679","262",1
"680","268",1
"681","27",31
"682","27,100",2
"683","27,121",1
"684","27,201",2
"685","27,248",1
"686","27,742",1
"687","27,831",2
"688","27,943",1
"689","27,945",2
"690","27.",1
"691","27.79",3
"692","271",2
"693","277",2
"694","28",38
"695","28,100",1
"696","28,600",8
"697","28,847",3
"698","28,864",2
"699","28.1",1
"700","28.18",1
"701","28.65",1
"702","280",2
"703","29",46
"704","29,028",5
"705","29,147",1
"706","29,204",2
"707","29,523",1
"708","29,800",1
"709","29,996",1
"710","294.8",1
"711","297",1
"712","2J6",1
"713","2교대",2
"714","2단계",1
"715","2분기",4
"716","2인(오성근",3
"717","2중",1
"718","2차연",1
"719","2차연도",1
"720","2차연도는",1
"721","2항)",1
"722","3,000",8
"723","3,059",1
"724","3,068",1
"725","3,092",3
"726","3,150",2
"727","3,172",1
"728","3,186",1
"729","3,202",1
"730","3,205",1
"731","3,212",1
"732","3,249",2
"733","3,360",1
"734","3,386",1
"735","3,434",2
"736","3,451",2
"737","3,453",1
"738","3,481",1
"739","3,509",2
"740","3,510",1
"741","3,524",1
"742","3,556",2
"743","3,578",1
"744","3,579",1
"745","3,766",1
"746","3,895",2
"747","3,939",1
"748","3,951",1
"749","3,973",1
"750","3.",5
"751","3.04",2
"752","3.06",1
"753","3.08",2
"754","3.1",1
"755","3.10",1
"756","3.2",1
"757","3.3",1
"758","3.5",1
"759","3.78",1
"760","3.86",1
"761","3.9",2
"762","3.91",1
"763","30",67
"764","30,000",5
"765","30,422",1
"766","30,426",1
"767","30,798",2
"768","30.",1
"769","30.8",1
"770","300",3
"771","30056",2
"772","30060",1
"773","30061",1
"774","30066",1
"775","30070",1
"776","30074",2
"777","301",1
"778","302",2
"779","305",1
"780","306",1
"781","308.1",1
"782","309.8",1
"783","31",111
"784","31,163",1
"785","31,226",1
"786","31,677",2
"787","31,755",2
"788","32",25
"789","32,008",2
"790","32,009",1
"791","32,103",2
"792","32,322",1
"793","32,467",1
"794","32,527",1
"795","32,560",2
"796","32,561",2
"797","32,670",1
"798","323",1
"799","327",3
"800","329",1
"801","33",32
"802","33,008",1
"803","33,009",1
"804","33,097",2
"805","33,302",2
"806","33,473",1
"807","33,854",4
"808","33,949",1
"809","33.",1
"810","330",3
"811","335",1
"812","336",1
"813","338",1
"814","34",24
"815","34,002",1
"816","34,118",1
"817","34,716",1
"818","34,794",1
"819","34,869",2
"820","34.3",2
"821","34.68",1
"822","340",3
"823","35",19
"824","35,364",2
"825","35,625",2
"826","35.6",1
"827","351.1",1
"828","356",4
"829","36",24
"830","36,201",2
"831","36,500",6
"832","36,780",1
"833","361",1
"834","365",4
"835","367",1
"836","368",1
"837","369",2
"838","37",24
"839","37,156",1
"840","37,166",2
"841","37,541",1
"842","37,600",4
"843","37,664",1
"844","37,687",2
"845","37,688",1
"846","37,693",1
"847","37.0",1
"848","373",1
"849","375",2
"850","38",49
"851","38,156",1
"852","38,182",2
"853","38,646",1
"854","38,647",1
"855","38,698",3
"856","38,868",1
"857","38,869",4
"858","38,943",2
"859","38,961",1
"860","38.6",1
"861","382",3
"862","386",2
"863","39",36
"864","39,030",1
"865","39,669",2
"866","392",1
"867","393",1
"868","394",1
"869","397",2
"870","3M",2
"871","3개사",1
"872","3교대",2
"873","3분기",5
"874","3분기부터",1
"875","3사업연도",1
"876","3심",2
"877","3인(윤상현",3
"878","4,000",2
"879","4,028",1
"880","4,075",1
"881","4,076",2
"882","4,077",4
"883","4,107",2
"884","4,113",2
"885","4,140",1
"886","4,161",4
"887","4,212",8
"888","4,213",1
"889","4,260",2
"890","4,264",1
"891","4,265",5
"892","4,301",2
"893","4,310",4
"894","4,325",1
"895","4,355",1
"896","4,433",1
"897","4,554",1
"898","4,628",2
"899","4,660",1
"900","4,714",2
"901","4,717",2
"902","4,723",1
"903","4,858",1
"904","4,919",2
"905","4,922",1
"906","4,924",1
"907","4,989",1
"908","4.",7
"909","4.1",1
"910","4.20",1
"911","4.36",2
"912","4.47",1
"913","4.57",2
"914","4.61",1
"915","4.63",3
"916","4.7",4
"917","4.70",2
"918","4.74",21
"919","4.75",1
"920","4.77",1
"921","4.79",2
"922","4.80",1
"923","4.89",1
